instituto,lat,lon
IMECC,-22.8157039,-47.0689317
FEM,-22.8199883,-47.0668054
IFGW,22.8164413,-47.0680803
IB,-22.8191164,-47.0699703
FEEC,-22.8213764,-47.0668415
FEC,-22.814346,-47.0656773
FEA,-22.8199054,-47.0674826
FCM,-22.8288528,-47.0642036
IFCH,-22.8161423,-47.0692824
IEL,-22.8154863,-47.0700871
IA,-22.8154863,-47.0700871
FEF,-22.8152865,-47.0734166
IC,-22.8159872,-47.0671618
IE,-22.8160039,-47.0672159
IG,-22.8238763,-47.0662325
IQ,-22.8195521,-47.0686823
FE,-22.8163962,-47.0664178
FEAGRI,-22.8181717,-47.0632351
